world,agent,contracts_erred,exceptions,contracts_dropped,contracts_signed,breaches_received,breaches_committed,contracts_breached,contracts_concluded,neg_requests_rejected,neg_requests_received,negs_initiated,negs_registered,negs_failed,neg_requests_sent,negs_succeeded,negs_timedout,contracts_executed,times,contracts_nullified,negotiator_exceptions
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,09Ra@1,0,[],0,146,0,0,0,74,0,100,100,100,47,100,53,0,73,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,04Eq@0,0,[],0,206,0,0,0,104,0,120,0,120,37,0,83,1,103,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,01MAT@0,0,[],0,172,0,0,0,87,0,120,0,120,54,0,66,2,86,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,03Gr@0,0,[],0,176,0,0,0,89,0,120,0,120,52,0,68,18,88,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,07Eq@1,0,[],0,148,0,0,0,75,0,100,100,100,45,100,54,0,74,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,00Li@0,0,[],0,118,0,0,0,60,0,120,0,120,80,0,39,17,59,7.00121745467186e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,06Gr@1,0,[],0,182,0,0,0,92,0,100,100,100,29,100,71,0,91,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,10Eq@1,0,[],0,126,0,0,0,64,0,100,100,100,57,100,43,0,63,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,08Ra@1,0,[],0,178,0,0,0,90,0,100,100,100,31,100,69,0,89,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,02Ra@0,0,[],0,206,0,0,0,104,0,120,0,120,37,0,83,0,103,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,05LYR@1,0,[],0,138,0,0,0,70,0,100,100,100,51,100,49,38,69,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,00LYR@0,0,[],0,120,0,0,0,61,0,80,0,80,40,0,40,0,60,8.998904377222061e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,BUYER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,01Li@0,0,[],0,164,0,0,0,83,0,80,0,80,18,0,62,0,82,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,02Eq@0,0,[],0,140,0,0,0,71,0,80,0,80,30,0,50,0,70,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,SELLER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,05Ra@1,0,[],0,132,0,0,0,67,0,80,80,80,34,80,46,0,66,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,03Gr@0,0,[],0,164,0,0,0,83,0,80,0,80,18,0,62,0,82,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,06Gr@1,0,[],0,186,0,0,0,94,0,80,80,80,7,80,73,0,93,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,07Ra@1,0,[],0,136,0,0,0,69,0,80,80,80,32,80,48,0,68,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,04MAT@1,0,[],0,134,0,0,0,68,0,80,80,80,33,80,47,0,67,1.0011717677116394e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,05Li@1,0,[],0,40,0,0,0,21,0,100,100,100,100,100,0,0,20,9.988434612751007e-08,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,04Ra@0,0,[],0,180,0,0,0,91,0,120,0,120,50,0,70,0,90,2.00001522898674e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,00LCI@0,0,[],0,160,0,0,0,81,0,120,0,120,60,0,60,0,80,1.0998919606208801e-06,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,03Eq@0,0,[],0,170,0,0,0,86,0,120,0,120,55,0,65,0,85,2.00001522898674e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,08Eq@1,0,[],0,148,0,0,0,75,0,100,100,100,46,100,54,0,74,2.00001522898674e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,2.998858690261841e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,01Gr@0,0,[],0,180,0,0,0,91,0,120,0,120,50,0,70,0,90,4.00003045797348e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,2.998858690261841e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,09Gr@1,0,[],0,206,0,0,0,104,0,100,100,100,17,100,83,0,103,1.0011717677116394e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,07Eq@1,0,[],0,176,0,0,0,89,0,100,100,100,32,100,68,0,88,2.00001522898674e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,10Ra@1,0,[],0,156,0,0,0,79,0,100,100,100,42,100,58,0,78,2.00001522898674e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,06MAT@1,0,[],0,148,0,0,0,75,0,100,100,100,46,100,54,0,74,1.0011717677116394e-07,0,[]
000120251128H130949660922ppJj_LitaAgentC-LitaAgentP-MOwT.0487a10e,02Ra@0,0,[],0,144,0,0,0,73,0,120,0,120,68,0,52,0,72,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,00LCI@0,0,[],0,160,0,0,0,81,0,80,0,80,20,0,60,0,80,7.00121745467186e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,BUYER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,01Li@0,0,[],0,128,0,0,0,65,0,80,0,80,36,0,44,0,64,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,02Eq@0,0,[],0,146,0,0,0,74,0,80,0,80,27,0,53,0,73,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,SELLER,0,[],0,160,0,0,0,84,0,0,0,0,0,0,0,0,80,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,05Ra@1,0,[],0,144,0,0,0,73,0,80,80,80,28,80,52,0,72,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,03Gr@0,0,[],0,168,0,0,0,85,0,80,0,80,16,0,64,0,84,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,06Gr@1,0,[],0,182,0,0,0,92,0,80,80,80,9,80,71,0,91,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,07Ra@1,0,[],0,148,0,0,0,75,0,80,80,80,26,80,54,0,74,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentC-MjJ1.06d63495,04MAT@1,0,[],0,128,0,0,0,65,0,80,80,80,36,80,44,0,64,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,05LCI@1,0,[],0,40,0,0,0,21,0,100,100,100,100,100,0,0,20,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,09Ra@1,0,[],0,170,0,0,0,86,0,100,100,100,34,100,65,0,85,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,04Eq@0,0,[],0,174,0,0,0,88,0,120,0,120,53,0,67,0,87,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,SELLER,0,[],0,200,0,0,0,105,0,0,0,0,0,0,0,0,100,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,03Gr@0,0,[],0,168,0,0,0,85,0,120,0,120,56,0,64,0,84,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,07Eq@1,0,[],0,158,0,0,0,80,0,100,100,100,41,100,59,0,79,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,00Li@0,0,[],0,194,0,0,0,98,0,120,0,120,43,0,77,0,97,7.00121745467186e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,06Gr@1,0,[],0,238,0,0,0,120,0,100,100,100,1,100,99,0,119,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,10Eq@1,0,[],0,128,0,0,0,65,0,100,100,100,56,100,44,0,64,9.988434612751007e-08,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,08Ra@1,0,[],0,158,0,0,0,80,0,100,100,100,41,100,59,0,79,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,02Ra@0,0,[],0,182,0,0,0,92,0,120,0,120,49,0,71,0,91,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentC-LitaAgentNYvl.00ef005b,01LYR@0,0,[],0,134,0,0,0,68,0,120,0,120,72,0,47,0,67,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,05Li@1,0,[],0,148,0,0,0,75,0,100,100,100,46,100,54,0,74,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,00LYR@0,0,[],0,124,0,0,0,63,0,120,0,120,78,0,42,0,62,8.00006091594696e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,09Ra@1,0,[],0,170,0,0,0,86,0,100,100,100,35,100,65,0,85,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,BUYER,0,[],0,240,0,0,0,126,0,0,0,0,0,0,0,0,120,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,01Li@0,0,[],0,218,0,0,0,110,0,120,0,120,31,0,89,0,109,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-LitaAgentNlkC.0119567d,04Eq@0,0,[],0,198,0,0,0,100,0,120,0,120,41,0,79,0,99,2.00001522898674e-07,0,[]
