world,type,contracts_erred,exceptions,contracts_dropped,contracts_signed,breaches_received,breaches_committed,contracts_breached,contracts_concluded,neg_requests_rejected,neg_requests_received,negs_initiated,negs_registered,negs_failed,neg_requests_sent,negs_succeeded,negs_timedout,contracts_executed,times,contracts_nullified,negotiator_exceptions
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,480,0,0,0,243,0,320,200,320,139,200,180,1,240,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,172,0,0,0,87,0,120,0,120,54,0,66,2,86,2.00001522898674e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,358,0,0,0,181,0,220,100,220,81,100,139,18,179,4.00003045797348e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,138,0,0,0,70,0,100,100,100,51,100,49,38,69,1.0011717677116394e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,530,0,0,0,268,0,320,200,320,115,200,205,0,265,4.998873919248581e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,[],0,118,0,0,0,60,0,120,0,120,80,0,39,17,59,7.00121745467186e-07,0,[]
000020251128H1309496249196qBU_LitaAgentY-LitaAgentYR-Maym.013a94a6,System,0,[],0,440,0,0,0,231,0,0,0,0,0,0,0,0,220,2.998858690261841e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,[],0,164,0,0,0,83,0,80,0,80,18,0,62,0,82,9.988434612751007e-08,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.EqualDistOneShotAgent,0,[],0,140,0,0,0,71,0,80,0,80,30,0,50,0,70,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.oneshot.mat.mat.MATAgent,0,[],0,134,0,0,0,68,0,80,80,80,33,80,47,0,67,1.0011717677116394e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.greedy.GreedyOneShotAgent,0,[],0,350,0,0,0,177,0,160,80,160,25,80,135,0,175,3.0011869966983795e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,[],0,120,0,0,0,61,0,80,0,80,40,0,40,0,60,8.998904377222061e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.oneshot.agents.rand.RandDistOneShotAgent,0,[],0,268,0,0,0,136,0,160,160,160,66,160,94,0,134,2.00001522898674e-07,0,[]
000220251128H130949687433kHMw_LitaAgentY-LitaAgentN-MZiR.06916fea,System,0,[],0,320,0,0,0,168,0,0,0,0,0,0,0,0,160,2.998858690261841e-07,0,[]
