world,type,negs_initiated,times,negs_timedout,negotiator_exceptions,contracts_erred,breaches_received,negs_succeeded,negs_registered,neg_requests_rejected,contracts_signed,contracts_breached,exceptions,contracts_dropped,neg_requests_received,contracts_executed,negs_failed,neg_requests_sent,contracts_concluded,contracts_nullified,breaches_committed
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,672,0.12386194318787602,108,[],0,0,162,1036,0,486,0,[],0,1036,229,532,672,247,0,0
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,112,3.440100044826977e-05,28,[],0,0,6,112,0,62,0,[],0,112,31,106,112,32,0,0
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,224,0.07994003300882468,50,[],0,0,235,588,0,622,0,[],0,588,268,234,224,314,0,0
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,System,0,1.3389999367063865e-06,0,[],0,0,0,0,0,459,0,[],0,0,224,0,0,239,0,0
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,0,1.7019992810674012e-06,9,[],0,0,42,112,0,136,0,[],0,112,67,66,0,69,0,0
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,448,0.026859878984396346,24,[],0,0,298,952,0,596,0,[],0,952,255,201,448,298,0,0
000820251204H1915179350482njE_LitaAgentY-LitaAgentYR-LitaAgentCdpq.25_2176162,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,2.340299943170976e-05,1,[],0,0,41,112,0,124,0,[],0,112,58,71,0,63,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,412,2.0300012693041936e-07,25,[],0,0,136,412,0,504,0,[],0,412,252,276,412,253,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,2.8399972507031634e-07,0,[],0,0,252,434,0,504,0,[],19,434,233,182,0,252,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,824,1.2250002328073606e-06,430,[],0,0,1686,3192,0,3838,0,[],67,3192,1852,1506,824,1921,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentP,407,1.0510002539376728e-06,0,[],0,0,0,407,0,236,0,[],0,407,118,407,407,119,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,System,0,4.6699915401404724e-07,0,[],0,0,0,0,0,2110,0,[],0,0,1055,0,0,1064,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,412,2.73999830824323e-07,0,[],0,0,0,412,0,242,0,[],0,412,121,412,412,122,0,0
001920251204H191518823020TmoJ_LitaAgentC-LitaAgentN-LitaAgentPwCd.59_2a55ad8,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,1242,1.4570005077985115e-06,35,[],0,0,1452,1737,0,3838,0,[],132,1737,1787,285,1242,1923,0,0
000120251204H191517423326ozUv_LitaAgentY-LitaAgentYR-LitaAgentNXpQ.05_1def18b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,923,4.809990059584379e-07,74,[],0,0,122,1488,0,874,0,[],0,1488,437,1366,923,439,0,0
000120251204H191517423326ozUv_LitaAgentY-LitaAgentYR-LitaAgentNXpQ.05_1def18b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,923,2.1800042304676026e-07,329,[],0,0,174,923,0,672,0,[],0,923,336,749,923,337,0,0
000120251204H191517423326ozUv_LitaAgentY-LitaAgentYR-LitaAgentNXpQ.05_1def18b,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentN,0,8.610004442743957e-07,0,[],0,0,651,810,0,1600,0,[],0,810,800,159,0,801,0,0
000120251204H191517423326ozUv_LitaAgentY-LitaAgentYR-LitaAgentNXpQ.05_1def18b,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,2769,9.380000847158954e-07,359,[],0,0,2426,3579,0,6050,0,[],0,3579,3025,1150,2769,3029,0,0
