world,type,neg_requests_rejected,contracts_signed,negs_failed,contracts_dropped,contracts_concluded,negs_timedout,breaches_received,neg_requests_received,contracts_nullified,negs_registered,negs_initiated,exceptions,negotiator_exceptions,neg_requests_sent,breaches_committed,contracts_executed,negs_succeeded,contracts_erred,contracts_breached,times
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,790,138,9,397,42,0,395,0,395,148,[],[],148,0,386,257,0,0,5.330002750270069e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,408,112,2,205,0,0,247,0,247,0,[],[],0,0,202,135,0,0,2.629967639222741e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,316,149,1,158,20,0,247,0,247,0,[],[],0,0,157,96,0,0,1.1110023478977382e-06
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,238,225,0,120,74,0,280,0,280,280,[],[],280,0,119,55,0,0,2.500019036233425e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,200,214,0,101,28,0,247,0,247,0,[],[],0,0,100,33,0,0,2.7400528779253364e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,866,262,0,435,16,0,560,0,560,560,[],[],560,0,433,296,0,0,4.7399953473359346e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.095bae52,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,4.490066203288734e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,792,92,16,398,16,0,350,0,350,112,[],[],112,0,380,258,0,0,5.43994246982038e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,204,242,0,103,2,0,280,0,280,280,[],[],280,0,102,38,0,0,2.579981810413301e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,378,111,1,189,0,0,238,0,238,0,[],[],0,0,188,127,0,0,8.170027285814285e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,194,208,0,98,44,0,238,0,238,0,[],[],0,0,97,30,0,0,2.710003172978759e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,808,293,0,406,56,0,560,0,560,560,[],[],560,0,404,267,0,0,5.62002242077142e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,246,184,3,124,2,0,238,0,238,0,[],[],0,0,120,54,0,0,2.7500209398567677e-07
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11eb5268,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,5.350011633709073e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,824,156,13,414,10,0,430,0,430,176,[],[],176,0,399,274,0,0,5.360052455216646e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,246,200,1,124,2,0,254,0,254,0,[],[],0,0,122,54,0,0,2.849992597475648e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_254.ultra.UltraSuperMiracleSoraFinalAgentZ,0,162,263,0,82,1,0,280,0,280,280,[],[],280,0,81,17,0,0,2.390006557106972e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentY,0,294,167,0,147,2,0,254,0,254,0,[],[],0,0,147,85,0,0,8.479983080178499e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,198,222,0,100,51,0,254,0,254,0,[],[],0,0,99,32,0,0,2.5599729269742966e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,0,766,312,0,385,62,0,560,0,560,560,[],[],560,0,383,246,0,0,4.3799809645861387e-07
000320251205H1139423651402d3f_L-X-UNKd.09128e84,System,0,1074,0,0,544,0,0,0,0,0,0,[],[],0,0,537,0,0,0,4.720059223473072e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,0,676,240,0,340,21,0,464,0,464,0,[],[],0,0,338,224,0,0,4.760004230774939e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_253.master_sota_agent.XenoSotaAgent,0,114,225,0,58,0,0,232,0,232,232,[],[],232,0,57,7,0,0,2.3000029614195228e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYR,0,136,222,0,69,22,0,232,0,232,232,[],[],232,0,68,10,0,0,2.6600173441693187e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_cir.LitaAgentCIR,0,330,125,0,166,7,0,232,0,232,0,[],[],0,0,165,107,0,0,8.269998943433166e-07
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.0858fba0,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,0,118,220,0,60,23,0,232,0,232,0,[],[],0,0,59,12,0,0,3.489985829219222e-07
