name,planned_n_steps,executed_n_steps,execution_time,simulation_exceptions,contract_exceptions,mechanism_exceptions,other_exceptions,n_agent_exceptions,n_negotiator_exceptions,mean_agent_time,n_neg_requests_sent,n_neg_requests_received,n_neg_requests_rejected,n_negs_registered,n_negs_succeeded,n_negs_failed,n_negs_timedout,n_negs_initiated,n_contracts_concluded,n_contracts_signed,n_contracts_dropped,n_breaches_received,n_breaches_committed,n_contracts_erred,n_contracts_nullified,n_contracts_breached,n_contracts_executed
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-XUDn.09,70,70,45.94497493700328,[],[],[],[],0,0,3.354012733325362e-07,988,1976,0,1976,872,1100,180,988,1960,3892,12,0,0,0,0,0,1934
000320251205H1139423651402d3f_LitaAgentY-LitaAgentYR-PeAZ.11,70,70,22.311074762001226,[],[],[],[],0,0,3.2620009733363985e-07,952,1904,0,1904,774,1130,120,952,1862,3696,20,0,0,0,0,0,1828
000320251205H1139423651402d3f_L-X-UNKd.09,70,70,36.417997139986255,[],[],[],[],0,0,3.0740047805011275e-07,1016,2032,0,2032,708,1320,128,1016,1796,3564,14,0,0,0,0,0,1768
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-X5NL.08,58,58,243.55232288999832,[],[],[],[],0,0,3.1500094337388874e-07,928,1856,0,1856,686,1170,102,928,1574,3116,0,0,0,0,0,0,1558
000320251205H1139423651402d3f_L-U-P3Oz.11,70,70,26.50883013100247,[],[],[],[],0,0,3.2660100259818135e-07,936,1872,0,1872,446,1426,336,936,1534,3040,4,0,0,0,0,0,1516
000120251205H113942213462aczN_L-X-UxR1.05,81,81,100.6888422040065,[],[],[],[],0,0,2.922931932570303e-07,2949,5898,0,5898,3062,2832,74,2949,4638,9236,138,0,0,0,0,0,4480
000120251205H113942213462aczN_P-K-OsuS.03,81,81,109.45998294900346,[],[],[],[],0,0,2.960587153211236e-07,2504,5008,0,5008,2910,2098,570,2504,4486,8932,186,0,0,0,0,0,4280
000420251205H113942444814iCAZ_L-X-PARY.12,100,100,48.73601879999478,[],[],[],[],0,0,2.881992259062827e-07,1582,3164,0,3164,602,2562,86,1582,2124,4216,6,0,0,0,0,0,2102
000220251205H1139423084075ixF_L-P-KXcb.07,58,58,21.590768718000618,[],[],[],[],0,0,3.583001671358943e-07,928,1856,0,1856,820,1036,86,928,1708,3384,0,0,0,0,0,0,1692
000220251205H1139423084075ixF_LitaAgentY-LitaAgentC-KmjS.07,58,58,313.7952114610089,[],[],[],[],0,0,3.0849623726680876e-07,928,1856,0,1856,674,1178,136,928,1562,3092,0,0,0,0,0,0,1546
