world,type,negs_timedout,contracts_executed,negs_registered,negs_succeeded,contracts_breached,neg_requests_sent,negs_failed,breaches_received,contracts_erred,contracts_dropped,contracts_nullified,breaches_committed,neg_requests_rejected,times,contracts_signed,negs_initiated,negotiator_exceptions,exceptions,contracts_concluded,neg_requests_received
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.090f6b36,System,0,730,0,0,0,0,0,0,0,0,0,0,0,1.7999991541728377e-07,1460,0,[],[],738,0
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.090f6b36,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYRTracked,1,123,274,37,0,0,236,0,0,4,0,0,0,8.999995770864189e-08,254,0,[],[],128,274
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.090f6b36,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,1,168,380,75,0,380,302,0,0,0,0,0,0,8.999995770864189e-08,336,380,[],[],169,380
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.090f6b36,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,2,330,336,163,0,336,173,0,0,10,0,0,0,1.7999991541728377e-07,680,336,[],[],342,336
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.090f6b36,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,6,396,928,113,0,380,813,0,0,0,0,0,0,3.0000046535860747e-07,792,380,[],[],399,928
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentN0p5.090f6b36,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_n.LitaAgentNTracked,0,249,274,168,0,0,106,0,0,6,0,0,0,5.000001692678779e-07,510,0,[],[],256,274
000220251210H223957905396qy6l_Po-Pr-Kf9e.0831878c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.myagent.PonponAgent,33,105,284,35,0,284,249,0,0,0,0,0,0,9.999985195463523e-08,210,284,[],[],106,284
000220251210H223957905396qy6l_Po-Pr-Kf9e.0831878c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,14,538,564,399,0,564,165,0,0,1,0,0,0,1.8999980966327712e-07,1078,564,[],[],541,564
000220251210H223957905396qy6l_Po-Pr-Kf9e.0831878c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,254,567,254,0,0,313,0,0,0,0,0,0,8.999995770864189e-08,508,0,[],[],254,567
000220251210H223957905396qy6l_Po-Pr-Kf9e.0831878c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,110,2150,2554,1806,0,1420,748,0,0,0,0,0,0,1.1899992387043312e-06,4300,1420,[],[],2154,2554
000220251210H223957905396qy6l_Po-Pr-Kf9e.0831878c,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_268.katsudon_agent.KATSUDONAgent,49,129,567,130,0,0,437,0,0,1,0,0,0,8.999995770864189e-08,260,0,[],[],130,567
000220251210H223957905396qy6l_Po-Pr-Kf9e.0831878c,System,0,554,0,0,0,0,0,0,0,0,0,0,0,1.900007191579789e-07,1108,0,[],[],561,0
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09a03440,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentPTracked,0,87,301,0,0,0,301,0,0,0,0,0,0,5.110000529384706e-07,174,0,[],[],88,301
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09a03440,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_yr.LitaAgentYRTracked,20,96,380,3,0,380,376,0,0,0,0,0,0,8.999995770864189e-08,192,380,[],[],97,380
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09a03440,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,4,154,301,65,0,0,235,0,0,1,0,0,0,1.200000951939728e-07,310,0,[],[],156,301
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09a03440,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,3,277,444,101,0,444,343,0,0,1,0,0,0,1.8000037016463466e-07,556,444,[],[],280,444
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09a03440,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,49,418,982,135,0,380,847,0,0,0,0,0,0,2.6999987312592566e-07,836,380,[],[],421,982
000320251210H223957935659O58P_LitaAgentYT-LitaAgentYR-LitaAgentPR12.09a03440,System,0,730,0,0,0,0,0,0,0,0,0,0,0,1.7999991541728377e-07,1460,0,[],[],738,0
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_p.LitaAgentPTracked,0,77,356,0,0,356,356,0,0,0,0,0,0,1.6999911167658865e-07,154,356,[],[],78,356
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,scml.oneshot.sysagents.DefaultOneShotAdapter:litaagent_std.litaagent_y.LitaAgentYTracked,0,89,356,17,0,356,339,0,0,0,0,0,0,1.6000012692529708e-07,178,356,[],[],90,356
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.RandomStdAgent,6,724,996,636,0,488,360,0,0,72,0,0,0,6.60000296193175e-07,1592,488,[],[],798,996
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.rand.SyncRandomStdAgent,3,362,2049,210,0,701,1839,0,0,9,0,0,0,1.1800002539530396e-06,742,701,[],[],373,2049
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml_agents.scml2025.standard.team_255.proactive_agent.ProactiveAgent,0,238,667,239,0,0,428,0,0,1,0,0,0,1.6999911167658865e-07,478,0,[],[],239,667
000020251210H223957824305qBUX_LitaAgentY-LitaAgentP-P29J.00c45fb9,scml.oneshot.sysagents.DefaultOneShotAdapter:scml.std.agents.greedy.GreedyStdAgent,83,852,1514,644,0,1068,870,0,0,28,0,0,0,7.100006769178435e-07,1760,1068,[],[],883,1514
